order_id,customer_id,order_datetime,channel,status
25463,1077,2024-06-25 00:17:41,store,delivered
171088,2998,2024-05-28 19:35:20,web,delivered
27437,4066,2024-02-14 17:49:14,app,delivered
98425,3243,2024-05-08 16:37:36,store,delivered
22325,5331,2024-04-17 20:08:22,app,delivered
104752,1160,2024-05-22 04:30:56,app,canceled
72872,1802,2024-01-04 21:10:14,store,paid
87248,2403,2024-03-30 15:38:00,app,delivered
188612,3785,2024-05-27 10:15:09,app,delivered
140227,3186,2024-06-12 19:59:48,web,delivered
130357,4823,2024-01-15 12:55:53,store,delivered
75790,5802,2024-02-10 06:18:54,web,shipped
184791,4970,2024-06-10 00:57:25,web,paid
99451,1769,2024-05-24 11:01:55,web,paid
8307,4787,2024-05-21 13:33:45,store,delivered
100725,5933,2024-01-09 14:51:51,web,delivered
95757,5464,2024-04-27 11:32:53,store,delivered
48841,1063,2024-05-11 18:59:45,web,delivered
156094,3701,2024-03-30 09:18:38,web,delivered
38832,3389,2024-06-12 11:29:51,app,canceled
68062,5254,2024-06-23 19:15:09,web,delivered
128167,5207,2024-05-24 01:16:37,web,delivered
87337,3350,2024-06-08 16:15:58,web,paid
116280,1551,2024-01-01 05:20:25,app,paid
137576,2176,2024-02-15 11:45:18,web,delivered
22175,3216,2024-04-26 08:01:16,web,delivered
178519,2403,2024-05-23 22:11:13,web,shipped
169852,1967,2024-05-10 07:43:35,web,shipped
70708,4278,2024-04-25 17:30:54,web,delivered
98881,3513,2024-06-12 12:50:48,app,canceled
92663,2070,2024-01-09 09:39:16,store,delivered
139017,5134,2024-05-25 21:23:37,store,delivered
38663,4683,2024-05-21 20:01:32,web,delivered
130532,1305,2024-05-01 09:34:19,app,delivered
195045,3913,2024-01-22 20:09:50,web,shipped
182796,3223,2024-04-04 06:04:09,web,delivered
31401,4439,2024-04-17 20:40:10,web,shipped
188229,2948,2024-03-25 04:32:35,app,shipped
87930,3114,2024-04-29 18:09:42,store,delivered
90279,5642,2024-01-20 20:22:36,web,paid
44572,1763,,web,paid
70279,2531,2024-04-10 09:49:27,web,shipped
190808,1385,2024-05-27 15:48:10,app,shipped
1675,3493,2024-06-07 21:45:13,web,paid
169799,5277,2024-01-11 04:23:02,web,canceled
104666,3389,2024-04-20 10:15:23,web,delivered
102349,1981,2024-03-02 05:13:48,app,shipped
40432,1288,2024-01-23 03:59:13,web,delivered
77629,4566,2024-04-29 23:57:37,app,canceled
143687,3064,2024-05-01 02:56:59,store,delivered
122113,4945,2024-06-04 01:15:41,web,shipped
127323,4591,2024-04-25 16:24:33,store,canceled
175244,5510,2024-05-22 09:20:17,web,delivered
95174,4787,2024-03-20 14:48:57,web,delivered
164990,3505,2024-04-29 21:18:28,web,delivered
132826,4593,2024-01-11 09:48:41,app,shipped
80949,917578,2024-06-11 12:34:28,app,delivered
63194,1496,2024-02-07 23:08:12,web,shipped
62760,3929,2024-01-06 13:24:25,web,paid
70869,1579,2024-02-07 05:06:50,web,shipped
81500,1348,2024-06-22 06:29:42,store,canceled
80428,1070,2024-01-07 06:37:15,app,delivered
100697,4823,2024-04-13 17:21:30,web,canceled
67789,1769,2024-06-26 11:39:50,web,canceled
182975,5348,2024-05-30 16:36:12,app,returned
13747,2190,2024-05-22 07:57:09,web,canceled
123339,5877,2024-04-28 20:42:29,store,delivered
5090,4823,2024-03-30 11:28:32,store,shipped
179595,2402,2024-04-27 02:54:41,web,delivered
145006,1148,2024-01-09 07:26:41,app,canceled
55725,2403,2024-06-07 10:47:32,web,delivered
16028,2882,2024-01-21 01:16:19,store,delivered
50349,1776,2024-03-30 04:18:16,app,delivered
49701,4823,2024-02-07 19:46:46,app,delivered
58123,3223,2024-01-12 20:04:53,app,shipped
122779,3676,2024-06-15 07:55:27,store,delivered
116231,4566,2024-06-12 15:05:44,store,paid
162979,3813,2024-05-01 11:35:09,web,shipped
147898,2233,2024-05-04 21:00:42,web,delivered
66811,5905,2024-01-13 11:39:36,app,delivered
93043,3197,2024-03-17 21:19:08,app,canceled
728,5910,2024-06-29 00:08:37,app,delivered
3999,3330,2024-06-06 20:05:46,web,shipped
157804,4404,2024-06-01 18:26:47,app,canceled
12976,2214,2024-01-30 10:46:00,web,shipped
10461,5808,2024-02-29 23:58:25,app,paid
55924,4823,2024-02-14 20:29:42,web,delivered
121737,4770,2024-02-17 00:31:38,web,delivered
180287,2058,2024-02-27 09:57:46,web,returned
56417,5463,2024-06-07 22:10:27,web,shipped
128047,5509,2024-06-07 22:16:54,web,delivered
29662,5700,2024-05-18 19:47:09,web,returned
103764,4823,2024-06-30 11:34:29,web,delivered
91443,1969,2024-05-22 16:34:40,store,canceled
27397,947438,2024-02-11 09:39:11,app,delivered
197496,1612,2024-02-07 08:51:37,app,paid
60706,4823,2024-05-21 17:07:41,web,shipped
186974,5331,2024-03-04 07:51:37,app,returned
174006,5657,2024-03-10 09:55:15,web,shipped
45647,2898,2024-05-26 13:02:00,app,delivered
135216,4823,2024-01-04 08:16:47,web,delivered
80911,5453,2024-05-28 03:33:01,web,delivered
18300,1464,2024-03-20 18:30:11,app,canceled
124910,1384,2024-05-24 15:16:17,app,delivered
137261,5012,2024-05-15 22:40:04,app,delivered
161226,4051,2024-01-30 02:56:44,web,shipped
85909,2648,2024-04-21 13:50:27,web,delivered
29037,5732,2024-03-17 10:11:36,app,shipped
37444,2828,2024-05-05 17:57:21,app,delivered
163717,4685,2024-05-17 03:04:33,app,delivered
188140,5898,2024-02-26 17:40:11,app,delivered
64478,2581,2024-04-29 13:44:14,web,delivered
158048,2536,2024-02-22 01:43:54,app,shipped
184459,2969,2024-04-23 15:49:42,store,canceled
183012,1802,2024-06-19 05:30:32,web,paid
174752,4823,2024-02-20 11:14:33,web,returned
36256,3245,2024-02-08 02:16:10,web,delivered
112725,3187,2024-03-30 22:22:48,store,delivered
3607,1279,2024-02-21 15:41:43,web,canceled
141044,3719,2024-02-13 09:43:14,store,delivered
78943,3265,2024-01-17 03:18:36,store,delivered
150337,3092,2024-03-31 18:51:22,web,delivered
109977,2288,2024-05-15 02:32:55,app,delivered
162872,2233,2024-03-17 08:21:02,web,delivered
186649,3667,2024-04-02 07:41:12,web,paid
159556,4823,2024-01-18 17:39:59,app,delivered
117581,1703,2024-04-15 13:06:27,store,delivered
177064,2783,2024-03-10 22:18:28,app,shipped
128883,5787,2024-04-23 21:15:21,app,canceled
141723,5117,2024-03-29 00:18:38,store,delivered
169470,1252,2024-01-18 23:39:08,web,delivered
67939,2233,2024-06-27 22:22:44,web,shipped
69026,1385,2024-05-04 03:00:14,web,delivered
119640,1065,2024-03-06 21:56:52,app,delivered
134443,3706,2024-03-14 01:14:04,store,paid
167761,2536,2024-06-01 10:47:26,store,delivered
106717,1551,2024-04-22 07:12:48,web,shipped
78009,2124,2024-01-06 19:59:59,web,returned
50132,3202,2024-03-30 21:14:31,web,shipped
191967,1518,2024-06-22 15:36:05,app,delivered
68725,4190,2024-04-10 17:25:01,app,delivered
115902,1592,2024-04-13 23:13:54,web,paid
163132,3799,2024-06-28 06:14:30,web,delivered
73581,4489,2024-05-13 16:30:31,app,shipped
68186,1896,2024-06-09 16:23:34,web,delivered
145656,1551,2024-04-01 16:51:15,web,delivered
142017,3036,2024-05-10 06:04:52,web,delivered
123930,3935,2024-01-29 08:09:20,web,delivered
74999,1208,2024-06-20 06:22:52,store,delivered
36417,3265,2024-03-06 04:06:25,app,paid
113564,3186,2024-03-26 14:01:09,app,delivered
90076,5167,2024-05-13 23:50:20,web,returned
184526,4823,2024-03-08 02:02:46,web,shipped
134766,5047,2024-02-23 11:43:33,web,delivered
13930,4998,2024-02-28 20:44:27,app,paid
26026,4566,2024-02-10 16:02:04,app,canceled
50799,1054,2024-01-14 12:44:27,web,delivered
81852,4156,2024-06-03 04:13:50,web,canceled
69321,1773,2024-06-08 22:31:24,web,paid
190408,2182,2024-06-05 19:45:23,web,returned
54466,5921,2024-03-27 11:12:18,app,delivered
163116,1525,,web,paid
196883,2536,2024-03-11 08:52:35,store,canceled
45045,2757,2024-05-06 10:54:45,web,delivered
28084,2603,2024-06-22 22:20:34,app,paid
151432,3622,2024-06-08 10:43:07,web,delivered
113738,2006,2024-04-14 18:12:46,web,delivered
95451,4823,2024-04-19 01:26:36,web,shipped
82785,1571,2024-06-24 13:40:08,app,delivered
113978,1612,2024-01-28 04:31:39,app,delivered
187297,4451,2024-06-20 02:13:06,web,paid
132091,2233,2024-06-16 11:28:44,web,delivered
24050,1551,2024-02-18 10:43:54,store,paid
167751,1381,2024-05-16 18:41:33,app,delivered
68466,2003,2024-01-08 00:12:07,app,delivered
195617,5311,2024-01-31 07:38:22,web,paid
104690,2531,2024-02-21 11:13:42,web,delivered
150168,3874,2024-03-23 17:41:16,web,delivered
178587,4566,2024-03-09 02:29:10,app,delivered
156320,3407,2024-02-18 19:10:43,app,canceled
22589,1070,2024-01-18 05:21:30,store,delivered
87837,5090,2024-05-25 03:51:57,web,delivered
124059,955360,2024-06-10 08:10:44,app,delivered
129458,2891,2024-04-13 12:51:54,app,delivered
184752,3337,2024-01-02 10:48:21,app,paid
177439,2274,2024-01-19 10:32:55,web,returned
23835,5841,2024-06-15 00:16:21,web,delivered
79407,5509,2024-02-09 02:15:24,web,paid
26401,4823,2024-04-04 10:29:33,app,delivered
190149,1504,2024-02-21 18:52:19,web,paid
114914,1512,2024-05-11 18:03:38,store,delivered
144583,2566,2024-02-29 19:05:59,web,delivered
186845,4823,2024-02-24 22:36:13,app,returned
148659,1551,2024-03-31 22:03:51,web,returned
10272,3226,2024-06-11 22:40:16,web,delivered
196024,3906,,web,returned
183599,4063,2024-01-09 20:26:53,app,delivered
131758,1355,2024-02-01 04:50:51,app,shipped
114231,5210,2024-06-18 04:48:52,web,returned
94906,5312,2024-06-02 03:58:00,app,delivered
147118,3202,2024-03-17 08:39:26,app,shipped
175751,2403,2024-02-17 13:15:42,app,canceled
50396,4591,2024-02-04 12:09:13,web,delivered
92398,1593,2024-05-09 09:02:09,web,delivered
3686,3456,2024-03-23 13:10:14,web,delivered
130304,5580,2024-03-09 00:44:54,web,delivered
29787,3265,2024-01-10 22:45:55,app,shipped
189636,4537,2024-05-19 19:44:28,web,delivered
188213,4123,2024-02-08 03:24:14,web,delivered
8861,1911,2024-06-16 19:08:21,web,delivered
84115,5038,2024-05-12 02:35:05,app,delivered
22118,3428,2024-05-04 04:50:43,app,delivered
148500,5946,2024-04-26 12:42:03,store,delivered
57176,4024,2024-01-06 12:51:03,app,delivered
86977,2714,2024-06-04 05:28:30,web,delivered
82129,1070,2024-05-17 17:21:29,app,canceled
171786,4683,2024-06-02 21:52:36,web,delivered
136492,2060,2024-05-11 02:45:14,web,delivered
44253,4817,2024-04-17 03:57:02,web,delivered
26652,4744,2024-04-04 14:40:55,web,paid
54989,3028,2024-01-07 23:37:43,store,shipped
1838,1399,2024-05-03 02:34:54,store,shipped
108019,5331,2024-05-29 03:28:16,web,delivered
24578,5035,2024-06-29 13:06:14,store,delivered
161703,4102,2024-05-18 04:26:10,web,delivered
39972,2547,2024-06-19 20:36:11,app,delivered
1848,5580,2024-06-30 09:07:30,web,delivered
82357,4650,2024-04-19 15:30:35,store,delivered
159884,4874,2024-04-29 13:57:47,store,paid
9896,1571,2024-05-12 12:34:04,app,delivered
17638,3969,2024-03-29 21:02:08,app,delivered
166896,5575,2024-02-10 19:16:15,app,delivered
147616,1795,2024-06-08 01:19:13,store,shipped
62052,5647,2024-01-14 13:25:33,web,delivered
117019,1673,2024-05-12 09:34:43,store,shipped
23084,2592,2024-03-03 02:56:16,web,delivered
56,2485,2024-01-27 01:11:12,web,canceled
38665,4194,2024-02-04 20:22:42,web,delivered
79152,2788,2024-01-22 16:37:27,app,canceled
24738,2274,2024-06-18 04:02:04,web,canceled
161145,2233,2024-06-16 04:42:22,web,shipped
33149,3265,2024-04-28 02:49:49,store,delivered
170010,2618,2024-05-26 15:26:06,app,delivered
143159,5241,2024-06-24 04:36:01,web,delivered
90746,3180,2024-05-27 07:49:10,web,delivered
51475,4823,2024-03-03 22:35:09,app,shipped
58719,4823,2024-02-01 16:31:52,app,delivered
183787,3755,2024-04-24 11:21:29,web,canceled
44438,3541,2024-06-12 13:19:06,app,canceled
130242,3265,2024-05-20 04:35:34,web,paid
18820,2519,2024-01-18 20:58:26,web,shipped
38631,3895,2024-06-17 19:58:04,web,delivered
160137,4983,2024-02-20 21:45:34,web,delivered
66873,3343,2024-04-22 03:05:21,web,delivered
22420,2281,2024-05-09 02:39:01,app,delivered
194890,1081,2024-06-07 12:21:01,web,delivered
168703,1800,2024-01-07 18:27:27,app,shipped
107014,1582,2024-04-07 07:46:20,app,delivered
62583,4060,2024-05-15 07:25:41,app,returned
181531,1258,2024-05-27 05:24:44,app,delivered
129123,1414,2024-03-30 12:31:48,web,delivered
191194,5304,2024-06-28 04:45:42,web,canceled
192106,1802,,web,delivered
174676,2097,,web,shipped
